vendor,wf_sharpe,naive_sharpe,selection_cost,config_switches,modal_config,modal_config_frac,n_folds,wf_sharpe_per_fold,seed,true_ic,kind,rank
vendor_05,-0.5279482137292493,0.033096058453780615,0.5610442721830299,2,smooth1_top25,0.4,5,-1.432;1.932;-3.744;-1.218;1.790,14,0.0,fake,12
vendor_04,1.3721453040086813,1.3721453040086813,0.0,0,smooth1_all,1.0,5,1.599;0.522;3.969;2.105;-1.088,15,0.01,REAL,1
vendor_00,1.2534255674677042,1.4111487943127532,0.15772322684504902,1,smooth1_top25,0.6,5,2.308;0.382;1.361;0.298;1.775,15,0.05,REAL,2
vendor_01,1.2534255674677042,1.4111487943127532,0.15772322684504902,1,smooth1_top25,0.6,5,2.308;0.382;1.361;0.298;1.775,15,0.04,REAL,3
vendor_03,1.0365886041444132,1.2483529394218273,0.21176433527741412,3,smooth20_all,0.6,5,0.732;-0.176;0.302;2.945;1.450,15,0.025,REAL,4
vendor_02,0.9344200115333016,1.2017689461257897,0.2673489345924881,3,smooth1_all,0.4,5,1.898;-0.458;1.036;-0.303;1.819,15,0.03,REAL,5
vendor_05,0.5665033896143041,0.4277204489116275,-0.1387829407026766,2,smooth5_all,0.6,5,2.132;0.133;-1.449;-0.501;1.314,15,0.0,fake,6
vendor_06,0.1913873417018557,1.036411715905646,0.8450243742037904,0,smooth20_top25,1.0,5,-0.277;0.182;1.375;1.630;-2.104,15,0.0,fake,7
vendor_11,0.18514379564098019,0.6315223192843951,0.4463785236434149,3,smooth20_all,0.4,5,1.488;-2.706;0.844;0.043;0.710,15,0.0,fake,8
vendor_08,-0.05567762744323251,0.052193118494464306,0.10787074593769681,1,smooth20_all,0.8,5,-0.985;0.997;-0.384;-2.654;1.944,15,0.0,fake,9
vendor_10,-0.26212290296987245,-0.13016112156622633,0.13196178140364612,1,smooth1_top50,0.6,5,-2.116;0.068;0.306;0.089;0.833,15,0.0,fake,10
vendor_07,-0.4929645898933249,0.14100304811932715,0.6339676380126521,2,smooth5_top50,0.6,5,-1.674;1.914;-1.840;0.623;-1.726,15,0.0,fake,11
vendor_09,-0.854581625951136,0.27567271225809575,1.1302543382092316,2,smooth5_top50,0.8,5,1.535;0.521;-1.521;-1.388;-3.393,15,0.0,fake,12
vendor_00,0.8187913236255744,1.0238473897508664,0.20505606612529204,3,smooth1_top50,0.6,5,0.424;2.324;0.533;-1.173;1.844,16,0.05,REAL,1
vendor_01,0.8187913236255744,1.0238473897508664,0.20505606612529204,3,smooth1_top50,0.6,5,0.424;2.324;0.533;-1.173;1.844,16,0.04,REAL,2
vendor_02,0.8187913236255744,1.0238473897508664,0.20505606612529204,3,smooth1_top50,0.6,5,0.424;2.324;0.533;-1.173;1.844,16,0.03,REAL,3
vendor_03,0.798655474612666,1.090462248104417,0.2918067734917511,3,smooth1_all,0.4,5,0.712;2.043;0.478;-1.052;1.740,16,0.025,REAL,4
